Variable	varimp	roc	gene
ATF3	0.0796008771795163	5.0848865154592	SFTPC
ATF4	0.0888990294339522	1.11101506322734	SFTPC
ATF5	0.0804862075773327	7.08009123698098	SFTPC
ATF6	0.0866082832907005	7.88826634743223	SFTPC
ATF6B	0.0975570302650485	11.4841388496137	SFTPC
ATF7	0.0809516082618792	0.402789955374746	SFTPC
ATMIN	0.0954494844652138	14.9914904840212	SFTPC
ATOH7	0.0960440911680001	0.132416533472392	SFTPC
ATOH8	0.0694203467924275	10.5139718810515	SFTPC
BACH1	0.0731843562253375	2.10260735477288	SFTPC
BACH2	0.0660776605041489	3.06977726809442	SFTPC
BARHL1	0.0588686772510792	1.36887188727362	SFTPC
BARHL2	0.0848899516397593	1.84692160132143	SFTPC
BARX1	0.0651282806741614	0.51600527004812	SFTPC
BARX2	0.101732855277379	2.46163072314598	SFTPC
BATF	0.105157684534831	6.93185721480045	SFTPC
BATF2	0.0886922067398758	1.29556575447479	SFTPC
BATF3	0.0838428364353733	3.8696414756298	SFTPC
BAZ2A	0.075654952630529	0.133407988400382	SFTPC
BAZ2B	0.107617493096811	1.23928719540016	SFTPC
BBX	0.0890396525419452	0.0802842434528052	SFTPC
BCL11A	0.0873953887115141	6.52772350332346	SFTPC
BCL11B	0.0940977353134691	0.182825327276224	SFTPC
BCL6	0.0690245390753858	1.26323112378471	SFTPC
BCL6B	0.0786559487660221	5.05875396691156	SFTPC
BHLHA15	0.0888406950743068	15.3643871669532	SFTPC
BHLHA9	0.0787541249590846	0.982537865660231	SFTPC
BHLHE22	0.0871044930986113	6.40469472457988	SFTPC
BHLHE23	0.0809023169892098	0.416402995330535	SFTPC
BHLHE40	0.0851776433208459	0.388720102676198	SFTPC
BHLHE41	0.119282870276424	6.52313150663483	SFTPC
BNC1	0.0856335444473917	0.607858201268763	SFTPC
BNC2	0.0790334141376047	1.92065142037162	SFTPC
BPTF	0.0874290540477371	6.53994907320997	SFTPC
BRF2	0.0781202369815437	13.2306316140187	SFTPC
C11orf95	0.0756755151142393	0.318814363139159	SFTPC
CAMTA1	0.0756844787821135	3.41921968636173	SFTPC
CAMTA2	0.0773175631751031	2.91155571251784	SFTPC
CARF	0.065721448114225	5.90895935396217	SFTPC
CASZ1	0.0775921261471784	9.89809229143481	SFTPC
CBX2	0.108460462357113	1.69041408339244	SFTPC
CC2D1A	0.0782829255607591	3.9245629071153	SFTPC
CCDC17	0.0815719917272101	4.77295421740588	SFTPC
CDC5L	0.0834265775833188	9.50387985857157	SFTPC
CDX1	0.0782313872600879	3.14064937447032	SFTPC
CDX2	0.0821390856470425	0.888382442206547	SFTPC
CEBPA	11.6240941152639	35.8443769005297	SFTPC
CEBPB	0.0574229175341	2.6815736959982	SFTPC
CEBPD	0.0963241113285663	1.33578022471642	SFTPC
CEBPE	0.0507026431985035	3.29594500879851	SFTPC
CEBPG	0.133896793966126	5.20889920517812	SFTPC
CEBPZ	0.0776596017568723	11.9786371711005	SFTPC
CENPA	0.101728022452843	6.82024435548493	SFTPC
CENPB	0.0682293081217227	10.5372824445427	SFTPC
CENPBD1	0.0872518504589298	13.8129939905569	SFTPC
CENPS	0.0828661088477254	11.3154008568519	SFTPC
CENPT	0.0860314050012438	2.80500805715625	SFTPC
CENPX	0.116184191234214	10.0628251994356	SFTPC
CGGBP1	0.0776856159599001	4.20258394576887	SFTPC
CHAMP1	0.0781317989332785	13.8609014812182	SFTPC
CHCHD3	0.0865807805231798	8.66613750239088	SFTPC
CIC	0.0871136782249267	4.42397621934965	SFTPC
CLOCK	0.116308958233795	7.04645468216493	SFTPC
CPEB1	0.0967514862249806	0.57649544148356	SFTPC
CPXCR1	0.0759411516490284	2.12216947827965	SFTPC
CREB1	0.0658407066858797	3.0659866302877	SFTPC
CREB3	0.0779032426197577	4.73854334632503	SFTPC
