Variable	varimp	gene
TCF23	0.0368313434953184	SFTPC
ZNF513	0.0310077846203403	SFTPC
ZNF512	0.0261039349001456	SFTPC
FOSL2	0.0217574059966812	SFTPC
CEBPZ	0.0210701181129215	SFTPC
SIX3	0.0304975435771206	SFTPC
SIX2	0.0301250668365493	SFTPC
EPAS1	0.0362984832866405	SFTPC
FOXN2	0.0368063006634203	SFTPC
BCL11A	0.140322399122656	SFTPC
REL	0.0258757787794099	SFTPC
OTX1	0.0265234277082246	SFTPC
MEIS1	0.0278131316605614	SFTPC
MXD1	0.0532758762103094	SFTPC
FIGLA	0.0166960024924752	SFTPC
VAX2	0.0251563456040333	SFTPC
EMX1	0.0310451848732639	SFTPC
NOTO	0.031021280926638	SFTPC
EGR4	0.0216758223117387	SFTPC
TET3	0.0390150293348202	SFTPC
LBX2	0.0504055735364869	SFTPC
TLX2	0.0254147736780551	SFTPC
KCMF1	0.0298376498495519	SFTPC
TCF7L1	0.0301978653315583	SFTPC
ATOH8	0.0364663018585926	SFTPC
FOXI3	0.042603592600186	SFTPC
ZNF514	0.113629506682803	SFTPC
ZNF2	0.0270483576885046	SFTPC
AC092835.2	0.0470802148537647	SFTPC
KCNIP3	0.0392652011126193	SFTPC
ARID5A	0.0322676568388595	SFTPC
NPAS2	0.0292765761475318	SFTPC
RFX8	0.034947177887721	SFTPC
POU3F3	0.0775960280361199	SFTPC
ZC3H8	0.0254996022305795	SFTPC
PAX8	0.0202099465263403	SFTPC
FOXD4L1	0.10426186196441	SFTPC
EN1	0.00761466570907121	SFTPC
GLI2	0.0351361626380497	SFTPC
TFCP2L1	0.629817469645394	SFTPC
ZEB2	0.0324239913487058	SFTPC
NR4A2	0.0276926002014109	SFTPC
BAZ2B	0.027566691961741	SFTPC
TBR1	0.0345867541995611	SFTPC
CSRNP3	0.0613667058297953	SFTPC
SP5	0.0284655673847867	SFTPC
DLX1	0.0407735051417458	SFTPC
DLX2	0.0137668930204591	SFTPC
SP3	0.0270489930533457	SFTPC
ATF2	0.0270483576885046	SFTPC
HOXD13	0.0324114030881679	SFTPC
HOXD10	0.0161838167652014	SFTPC
HOXD9	0.029568288628631	SFTPC
HOXD8	0.0506919039295525	SFTPC
HOXD3	0.0210974611975196	SFTPC
HOXD4	0.0160204985645346	SFTPC
HOXD1	4.52714987614014	SFTPC
NFE2L2	0.021427778834911	SFTPC
ZNF385B	100	SFTPC
NEUROD1	0.0289797021024199	SFTPC
ZNF804A	0.0395411433009095	SFTPC
STAT1	0.0231455698727413	SFTPC
STAT4	0.0321293721070191	SFTPC
SATB2	0.0445769774324652	SFTPC
CARF	0.0220536239803483	SFTPC
KLF7	0.0269007000534837	SFTPC
CREB1	0.02445299006835	SFTPC
IKZF2	0.0319474689843125	SFTPC
ZNF142	0.0288563520823091	SFTPC
FEV	0.0266411418610329	SFTPC
ANKZF1	0.0509693905514627	SFTPC
PAX3	0.0401572431132311	SFTPC
SP110	0.0246517136689298	SFTPC
SP140	0.0265881646147881	SFTPC
SP140L	0.0270483576885046	SFTPC
SP100	0.0223055581402266	SFTPC
TIGD1	0.0300026074072768	SFTPC
GBX2	0.0282468141585468	SFTPC
HES6	0.0463945397350345	SFTPC
TWIST2	0.0236652677855658	SFTPC
MTERF4	0.0273712211770925	SFTPC
THAP4	0.0282953087537566	SFTPC
BHLHE40	0.0321370959956317	SFTPC
PPARG	0.0917085565702884	SFTPC
NR2C2	0.0219448778889278	SFTPC
RBSN	0.0289254430174328	SFTPC
SATB1	0.0280620716725062	SFTPC
ZNF385D	0.0229363059678952	SFTPC
NR1D2	0.0415407818632842	SFTPC
THRB	0.0330093337340014	SFTPC
RARB	0.0269724458321033	SFTPC
EOMES	0.0302697579415682	SFTPC
ZNF860	0.0209919238556594	SFTPC
UBP1	0.0278196727163405	SFTPC
CSRNP1	0.0225585550491814	SFTPC
ZNF619	0.0227790415943869	SFTPC
ZNF620	0.0284702253527788	SFTPC
ZNF621	0.0515739571285397	SFTPC
ZBTB47	0.0247267653261719	SFTPC
ZNF662	0.0334155883374368	SFTPC
ZNF445	0.028426969369304	SFTPC
ZNF852	0.0287690260885845	SFTPC
ZKSCAN7	0.0316136922044792	SFTPC
ZNF660	0.0228231250566174	SFTPC
ZNF197	0.0270483576885046	SFTPC
ZNF35	0.0205402154241059	SFTPC
ZNF502	0.033899386970099	SFTPC
ZNF501	0.0272984556624286	SFTPC
LTF	0.0234412384233228	SFTPC
ZNF589	0.0323247576683795	SFTPC
HESX1	0.0226400615474993	SFTPC
FEZF2	0.0925411483958399	SFTPC
TMF1	0.0241684959806586	SFTPC
MITF	0.0261613204177995	SFTPC
FOXP1	0.0247600787020239	SFTPC
ZNF717	0.0264606037348981	SFTPC
POU1F1	0.0244625828588385	SFTPC
CGGBP1	0.0312118270671916	SFTPC
ZNF654	0.0270483576885046	SFTPC
ZBTB11	0.0270483576885046	SFTPC
BBX	0.0267286852593676	SFTPC
ZBED2	0.0317408454740176	SFTPC
USF3	0.0264196730328312	SFTPC
ZNF80	0.0105407193624424	SFTPC
ZBTB20	0.0237674604333449	SFTPC
NR1I2	0.0335086313296723	SFTPC
ZNF148	0.0270483576885046	SFTPC
KLF15	0.0294079671607678	SFTPC
ZXDC	0.026375546024146	SFTPC
GATA2	0.0348150759458866	SFTPC
MBD4	0.0278278469679781	SFTPC
SOX14	0.034891560460767	SFTPC
FOXL2	0.0313593612185699	SFTPC
ZBTB38	0.0270483576885046	SFTPC
TFDP2	0.0284901809706197	SFTPC
PLSCR1	0.0262146849258706	SFTPC
ZIC4	0.0223556516174729	SFTPC
ZIC1	0.021050063813065	SFTPC
SHOX2	0.0559303908321075	SFTPC
MECOM	0.0209296967195809	SFTPC
MYNN	0.0269698673390003	SFTPC
SKIL	0.0235609537377931	SFTPC
ZNF639	0.0278918344213889	SFTPC
SOX2	0.0233151650370697	SFTPC
ETV5	0.2483203645755	SFTPC
BCL6	0.0239716220480035	SFTPC
TP63	0.016215494107414	SFTPC
HES1	0.0300984009251945	SFTPC
ZNF595	0.0283095730376727	SFTPC
ZNF718	0.0232338092221439	SFTPC
ZNF732	0.0376936602281015	SFTPC
ZNF141	0.0411029959820946	SFTPC
ZNF721	0.0278047237715093	SFTPC
NKX1_1	0.0175705786990365	SFTPC
MXD4	0.0230955410382074	SFTPC
MSANTD1	0.0394585615031709	SFTPC
ZBTB49	0.0249657548523661	SFTPC
MSX1	0.0430964064659029	SFTPC
HMX1	0.0180608279427519	SFTPC
ZNF518B	0.0281208714492268	SFTPC
NKX3_2	0.061324321834521	SFTPC
FAM200B	0.0403339226834102	SFTPC
LCORL	0.0284438449823708	SFTPC
RBPJ	0.0204326846595262	SFTPC
KLF3	0.0247073937800746	SFTPC
NFXL1	0.0258990693826326	SFTPC
CLOCK	0.0270483576885046	SFTPC
REST	0.0330273980378954	SFTPC
THAP6	0.0321570002457825	SFTPC
PRDM8	0.047223125274255	SFTPC
THAP9	0.034664048637176	SFTPC
LIN54	0.0285975152955138	SFTPC
NKX6_1	0.0295948855709195	SFTPC
TIGD2	0.0375800714398027	SFTPC
NFKB1	0.0275921519645958	SFTPC
CXXC4	0.034122217350246	SFTPC
TET2	0.0293934505023373	SFTPC
LEF1	0.0379405213561392	SFTPC
PITX2	0.0321253515328428	SFTPC
PRDM5	0.0281267774615755	SFTPC
ELF2	0.0270483576885046	SFTPC
SMAD1	0.0233047829075024	SFTPC
ZNF827	0.0314381833868009	SFTPC
POU4F2	0.0272908006240987	SFTPC
NR3C2	0.0441800259610594	SFTPC
TIGD4	0.0472017122113349	SFTPC
HAND2	0.0273553823216659	SFTPC
IRF2	0.0252691391663464	SFTPC
HELT	0.13499388211352	SFTPC
ZFP42	0	SFTPC
AHRR	0.0414162818597484	SFTPC
IRX4	0.0242640663094674	SFTPC
IRX2	0.290848041824547	SFTPC
IRX1	0.0500494712328175	SFTPC
ZNF131	0.028445383044956	SFTPC
ISL1	0.0162208950041367	SFTPC
GPBP1	0.0270069732959496	SFTPC
ZNF366	0.0261843104977641	SFTPC
FOXD1	0.044345608829912	SFTPC
ZBED3	0.0319163025547003	SFTPC
OTP	0.0203709147081756	SFTPC
MEF2C	0.0325580709122904	SFTPC
NR2F1	0.0198728103862199	SFTPC
POU5F2	0.0330259202343829	SFTPC
FAM170A	0.0193348137645413	SFTPC
ZNF474	0.020884474554127	SFTPC
PRDM6	0.0275626102063376	SFTPC
ZNF608	0.0304174992037523	SFTPC
IRF1	0.0288202161976045	SFTPC
TCF7	0.0290377610514026	SFTPC
PITX1	0.0342382733856184	SFTPC
NEUROG1	0.0260680889491107	SFTPC
SMAD5	0.0269112795176065	SFTPC
EGR1	0.0430089416536629	SFTPC
CXXC5	0.0316311980402559	SFTPC
PURA	0.0309074826231129	SFTPC
NR3C1	0.0231795177567881	SFTPC
POU4F3	0.0390600267810659	SFTPC
TIGD6	0.0259150920993521	SFTPC
CDX1	0.0152192131857882	SFTPC
ZNF300	0.0447138368719199	SFTPC
HAND1	0.032072108085899	SFTPC
SOX30	0.0203323098335139	SFTPC
EBF1	0.138922085172297	SFTPC
FOXI1	0.0366784086381991	SFTPC
TLX3	0.0203574969995229	SFTPC
