ntree,mtry,sample.fraction,min.node.size,rmse
200,20,0.6,10,141429.01373679
200,22,0.6,10,137558.218584182
200,24,0.6,10,134810.669853691
200,26,0.6,10,137493.509879869
200,28,0.6,10,134088.712568132
200,30,0.6,10,134742.934618305
200,32,0.6,10,134456.36462901
200,34,0.6,10,135845.044936055
200,36,0.6,10,132836.874769031
200,38,0.6,10,133593.317190462
200,40,0.6,10,132847.079850037
200,42,0.6,10,131647.759801608
200,44,0.6,10,131808.151250458
200,46,0.6,10,128491.212135301
200,48,0.6,10,132583.314991954
200,50,0.6,10,130218.603827545
200,10,0.7,10,148160.807675475
200,12,0.7,10,143237.057779044
200,14,0.7,10,141612.97513236
200,16,0.7,10,141144.042404765
200,18,0.7,10,139986.898681824
200,20,0.7,10,140331.94371409
200,22,0.7,10,139248.915000957
200,24,0.7,10,138788.372987196
200,26,0.7,10,134447.190080436
200,28,0.7,10,134297.261280066
200,30,0.7,10,136804.989663213
200,32,0.7,10,130760.199731273
200,34,0.7,10,132311.313368346
200,36,0.7,10,134494.378823328
200,38,0.7,10,128979.149210569
200,40,0.7,10,130571.201506602
200,42,0.7,10,132500.385406567
200,44,0.7,10,129387.728487084
200,46,0.7,10,127066.661698582
200,48,0.7,10,129528.868704003
200,50,0.7,10,129769.936155681
200,10,0.8,10,149517.601730506
200,12,0.8,10,144856.859819432
200,14,0.8,10,142019.063413942
200,16,0.8,10,139305.114899211
200,18,0.8,10,135038.575544826
200,20,0.8,10,132946.392176478
200,22,0.8,10,140717.571113072
200,24,0.8,10,136945.135331534
200,26,0.8,10,132301.60067164
200,28,0.8,10,132884.610133446
200,30,0.8,10,131938.603305346
200,32,0.8,10,132441.879950777
200,34,0.8,10,134053.368652483
200,36,0.8,10,132548.246375178
200,38,0.8,10,131429.991244195
200,40,0.8,10,131587.85086388
200,42,0.8,10,127538.322057619
200,44,0.8,10,129859.473137458
200,46,0.8,10,128959.91813905
200,48,0.8,10,129554.760468747
200,50,0.8,10,129102.383211206
200,10,0.9,10,143115.712829576
200,12,0.9,10,144097.30733258
200,14,0.9,10,144366.458104522
200,16,0.9,10,137260.730014988
200,18,0.9,10,138499.641633842
200,20,0.9,10,135865.277364375
200,22,0.9,10,136154.789605038
200,24,0.9,10,132462.297145861
200,26,0.9,10,133607.455736215
200,28,0.9,10,133767.405916715
200,30,0.9,10,133443.164027539
200,32,0.9,10,130712.401949101
200,34,0.9,10,130522.644211535
200,36,0.9,10,131336.646781233
200,38,0.9,10,130150.763924084
200,40,0.9,10,129628.397075936
200,42,0.9,10,124774.677530759
200,44,0.9,10,126372.910792173
200,46,0.9,10,129587.376343526
200,48,0.9,10,126790.451954187
200,50,0.9,10,125430.860309051
200,10,1,10,148326.881138652
200,12,1,10,145702.551865114
200,14,1,10,141464.914594282
200,16,1,10,139640.718185395
200,18,1,10,133509.034097799
200,20,1,10,136880.428149791
200,22,1,10,133778.106463505
200,24,1,10,136180.727258132
200,26,1,10,132787.361412844
200,28,1,10,132312.60383832
200,30,1,10,131829.34452146
200,32,1,10,128314.009634728
200,34,1,10,132625.105052714
200,36,1,10,133559.088879274
200,38,1,10,128970.357586169
200,40,1,10,128890.844920478
200,42,1,10,125467.356946035
200,44,1,10,130339.692502589
200,46,1,10,127434.876749983
200,48,1,10,126163.001516486
200,50,1,10,126614.159241391
200,10,0.5,12,152370.307642863
200,12,0.5,12,149163.823563158
200,14,0.5,12,145379.585939344
200,16,0.5,12,145477.881309575
200,18,0.5,12,146693.673673823
200,20,0.5,12,142111.05080523
200,22,0.5,12,140342.525482141
200,24,0.5,12,138825.143335946
200,26,0.5,12,139580.987549813
200,28,0.5,12,136042.513076328
