minsplit,maxdepth,CP,nsplit,rel error,xerror,xstd
38,30,0.0108654833319461,7,0.231835182631877,0.342722348554281,0.0379704118677727
39,30,0.01,9,0.21016683790222,0.347723540724724,0.035815723334115
40,30,0.01,9,0.21016683790222,0.350752778254153,0.0313184235752576
20,31,0.0108028613977113,8,0.220969699299931,0.372925056735147,0.0384925492828528
21,31,0.01,9,0.21016683790222,0.350290456720473,0.047779086242282
22,31,0.01,9,0.21016683790222,0.338912555629058,0.0318060666546376
23,31,0.01,9,0.21016683790222,0.368302007295879,0.0440481412567837
24,31,0.0109316456393027,6,0.24276682827118,0.362903577819912,0.0382704130255712
25,31,0.0108028613977113,8,0.220969699299931,0.337927066963602,0.0394983809969276
26,31,0.0108654833319461,7,0.231835182631877,0.371318387209371,0.0479304615290916
27,31,0.01,9,0.21016683790222,0.345794681453742,0.0448584497325774
28,31,0.0108654833319461,7,0.231835182631877,0.349157077412578,0.0445637323486198
29,31,0.01,9,0.21016683790222,0.361441526516495,0.0355746135026307
30,31,0.01,9,0.21016683790222,0.368435074279618,0.0482322819085889
31,31,0.0108028613977113,8,0.220969699299931,0.330578865637204,0.0389274040766306
32,31,0.01,9,0.21016683790222,0.353334164536538,0.0427304936684879
33,31,0.0108654833319461,7,0.231835182631877,0.35672642851874,0.0403826540392193
34,31,0.0108654833319461,7,0.231835182631877,0.334536400278958,0.0409976910579981
35,31,0.01,9,0.21016683790222,0.312455722340247,0.0248247108586674
36,31,0.0109316456393027,6,0.24276682827118,0.348140182732373,0.0287079586300345
37,31,0.0108654833319461,7,0.231835182631877,0.390947009565318,0.0405427253814737
38,31,0.01,9,0.21016683790222,0.323239872725926,0.0312313333398441
39,31,0.0108654833319461,7,0.231835182631877,0.352833692995178,0.0375368603067999
40,31,0.01,9,0.21016683790222,0.346794124890315,0.0353623704539925
20,32,0.0108654833319461,7,0.231835182631877,0.351552340292297,0.0403025086733499
21,32,0.0108654833319461,7,0.231835182631877,0.347488641498196,0.0351271671458221
22,32,0.01,9,0.21016683790222,0.312293897292409,0.0247757370545878
23,32,0.01,9,0.21016683790222,0.326234632124292,0.0277207998644963
24,32,0.01,9,0.21016683790222,0.357095165521284,0.0443592284966219
25,32,0.01,9,0.21016683790222,0.295829455180659,0.0230159154788348
26,32,0.01,9,0.21016683790222,0.352049496882722,0.0349594517085997
27,32,0.01,9,0.21016683790222,0.34540607077561,0.0306077347648927
28,32,0.01,9,0.21016683790222,0.319861287968282,0.0235625750830778
29,32,0.0108028613977113,8,0.220969699299931,0.353426232023608,0.0529770270401393
30,32,0.01,9,0.21016683790222,0.331196224933811,0.0256638405085357
31,32,0.01,9,0.21016683790222,0.341741014067518,0.0308300030704137
32,32,0.01,9,0.21016683790222,0.324263026024807,0.0237894786061501
33,32,0.0108654833319461,7,0.231835182631877,0.367827189176462,0.0437556833065982
34,32,0.0108654833319461,7,0.231835182631877,0.330824176062197,0.0356718703540096
35,32,0.01,9,0.21016683790222,0.331239066692532,0.031913342715849
36,32,0.01,9,0.21016683790222,0.356554010383012,0.0364905943530263
37,32,0.0109316456393027,6,0.24276682827118,0.327729470086598,0.0260854856626894
38,32,0.01,9,0.21016683790222,0.336478350742962,0.0358242714206741
39,32,0.01,9,0.21016683790222,0.358295826294301,0.0362657193310719
40,32,0.0108654833319461,7,0.231835182631877,0.354853770040631,0.0370237679057701
20,33,0.01,9,0.21016683790222,0.324343788737062,0.042401951669688
21,33,0.0108654833319461,7,0.231835182631877,0.322464321290656,0.0371577242429906
22,33,0.01,9,0.21016683790222,0.353161398674069,0.0453371913935636
23,33,0.0108654833319461,7,0.231835182631877,0.370924881143499,0.0460796936617947
24,33,0.01,9,0.21016683790222,0.363298376034408,0.0496905605755217
25,33,0.0108028613977113,8,0.220969699299931,0.297240201970885,0.025149062596428
26,33,0.01,9,0.21016683790222,0.349960258544207,0.0319813167725179
27,33,0.01,9,0.21016683790222,0.323454917727396,0.0293425978935235
28,33,0.01,9,0.21016683790222,0.357559132767807,0.0375251008697811
29,33,0.0108654833319461,7,0.231835182631877,0.331328036935343,0.034207846098083
30,33,0.01,9,0.21016683790222,0.348220267698752,0.0315424412948339
31,33,0.0109316456393027,6,0.24276682827118,0.348379458790853,0.044091451012566
32,33,0.01,9,0.21016683790222,0.341956104341909,0.0276061997287451
33,33,0.0108654833319461,7,0.231835182631877,0.333302163772584,0.0261448388101531
34,33,0.0108654833319461,7,0.231835182631877,0.350310377247427,0.0359814290116435
35,33,0.0108028613977113,8,0.220969699299931,0.365902362023419,0.0441464333881817
36,33,0.01,9,0.21016683790222,0.381467122122217,0.046448641921706
37,33,0.0108654833319461,7,0.231835182631877,0.330268220910885,0.0411366553539781
38,33,0.01,9,0.21016683790222,0.325749896097882,0.0291680701068999
39,33,0.01,9,0.21016683790222,0.361998739343369,0.0377104522342526
40,33,0.01,9,0.21016683790222,0.329034924916494,0.0352310846009202
20,34,0.0108654833319461,7,0.231835182631877,0.343188128459417,0.0363995049150456
21,34,0.0108654833319461,7,0.231835182631877,0.370319412270746,0.0508458214542176
22,34,0.0108654833319461,7,0.231835182631877,0.39043912929869,0.0457962367905183
23,34,0.01,9,0.21016683790222,0.341228051235428,0.0330298762145766
24,34,0.0108654833319461,7,0.231835182631877,0.370788454481644,0.0367939662651882
25,34,0.01,9,0.21016683790222,0.356140311242062,0.0328270555958241
26,34,0.0108028613977113,8,0.220969699299931,0.353635471751567,0.0402224907978022
27,34,0.01,9,0.21016683790222,0.310775763190903,0.0247232825180166
28,34,0.01,9,0.21016683790222,0.340465920311759,0.0327949699229354
29,34,0.0108654833319461,7,0.231835182631877,0.311802598060954,0.0290646047992119
30,34,0.0109316456393027,6,0.24276682827118,0.323238100054853,0.0284945810592763
31,34,0.01,9,0.21016683790222,0.318005070352575,0.0296152756172201
32,34,0.01,9,0.21016683790222,0.350471606824778,0.0341629054487204
33,34,0.0108654833319461,7,0.231835182631877,0.343352027111844,0.0288711112955831
34,34,0.0108028613977113,8,0.220969699299931,0.360519271887017,0.0447687758989658
35,34,0.0108654833319461,7,0.231835182631877,0.328148328795571,0.0415382377902662
36,34,0.01,9,0.21016683790222,0.342008329904796,0.0364161478619422
37,34,0.0108654833319461,7,0.231835182631877,0.351315806697389,0.0294402300243608
38,34,0.01,9,0.21016683790222,0.336842331257291,0.0267468328457655
39,34,0.01,9,0.21016683790222,0.347119335096373,0.0310318342882233
40,34,0.0108654833319461,7,0.231835182631877,0.336631613511816,0.0306132903441498
20,35,0.01,9,0.21016683790222,0.346612150592379,0.0267526334083839
21,35,0.01,9,0.21016683790222,0.363498300803163,0.049249303615278
22,35,0.0108654833319461,7,0.231835182631877,0.352386847319278,0.0298367273008088
23,35,0.01,9,0.21016683790222,0.342004425509937,0.0288567083122173
24,35,0.01,9,0.21016683790222,0.371268150326253,0.0544811146201854
25,35,0.01,9,0.21016683790222,0.325012282393781,0.0267457452453866
26,35,0.01,9,0.21016683790222,0.343557480004345,0.0360234058121204
27,35,0.01,9,0.21016683790222,0.350827875377632,0.0360050485709356
28,35,0.01,9,0.21016683790222,0.365638394223763,0.0489222994809825
29,35,0.01,9,0.21016683790222,0.336690221191366,0.0282349233019359
30,35,0.0108654833319461,7,0.231835182631877,0.377313782732688,0.0480321274821384
31,35,0.01,9,0.21016683790222,0.365361392060582,0.0453524691796414
32,35,0.01,9,0.21016683790222,0.32888957098882,0.0281323725545005
33,35,0.01,9,0.21016683790222,0.369485875370548,0.0485764861802639
34,35,0.0108654833319461,7,0.231835182631877,0.320435919933121,0.0259698952707886
